Year,Institute,Percentile,R56_Awards,R01_Equivalent_Awards,Not_Awarded,Funded_Total,Applications_Total,Funding_Rate,R56_Suppressed,Percentile_Band
2014,ALL NIH,39,3.0,1,230,4.0,234.0,0.017094017094017096,False,26+
2014,ALL NIH,40,0.0,2,253,2.0,255.0,0.00784313725490196,False,26+
2014,ALL NIH,41,0.0,1,199,1.0,200.0,0.005,False,26+
2014,ALL NIH,42,1.0,1,253,2.0,255.0,0.00784313725490196,False,26+
2014,ALL NIH,43,1.0,1,249,2.0,251.0,0.00796812749003984,False,26+
2014,ALL NIH,44,1.0,1,235,2.0,237.0,0.008438818565400843,False,26+
2014,ALL NIH,45,1.0,0,184,1.0,185.0,0.005405405405405406,False,26+
2014,ALL NIH,46,0.0,1,284,1.0,285.0,0.0035087719298245615,False,26+
2014,ALL NIH,47,0.0,1,243,1.0,244.0,0.004098360655737705,False,26+
2014,ALL NIH,48,0.0,0,224,0.0,224.0,0.0,False,26+
2014,ALL NIH,49,1.0,0,200,1.0,201.0,0.004975124378109453,False,26+
2014,ALL NIH,50,1.0,0,219,1.0,220.0,0.004545454545454545,False,26+
2014,ALL NIH,51,0.0,0,166,0.0,166.0,0.0,False,26+
2014,ALL NIH,52,0.0,0,173,0.0,173.0,0.0,False,26+
2014,ALL NIH,53,1.0,0,126,1.0,127.0,0.007874015748031496,False,26+
2014,ALL NIH,54,0.0,1,78,1.0,79.0,0.012658227848101266,False,26+
2014,ALL NIH,55,0.0,0,54,0.0,54.0,0.0,False,26+
2014,ALL NIH,56,0.0,0,38,0.0,38.0,0.0,False,26+
2014,ALL NIH,57,0.0,0,27,0.0,27.0,0.0,False,26+
2014,ALL NIH,58,1.0,0,13,1.0,14.0,0.07142857142857142,False,26+
2014,ALL NIH,59,0.0,0,19,0.0,19.0,0.0,False,26+
2014,ALL NIH,60,0.0,0,10,0.0,10.0,0.0,False,26+
2014,ALL NIH,61,0.0,0,6,0.0,6.0,0.0,False,26+
2014,ALL NIH,62,0.0,0,5,0.0,5.0,0.0,False,26+
2014,ALL NIH,63,0.0,0,8,0.0,8.0,0.0,False,26+
2014,ALL NIH,64,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,65,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,66,0.0,0,11,0.0,11.0,0.0,False,26+
2014,ALL NIH,67,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,68,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,69,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,70,0.0,0,5,0.0,5.0,0.0,False,26+
2014,ALL NIH,72,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,75,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,76,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,79,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,80,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,81,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,84,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,86,0.0,0,3,0.0,3.0,0.0,False,26+
2014,ALL NIH,88,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,91,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,92,0.0,0,3,0.0,3.0,0.0,False,26+
2014,ALL NIH,94,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,95,0.0,0,1,0.0,1.0,0.0,False,26+
2014,ALL NIH,96,0.0,0,2,0.0,2.0,0.0,False,26+
2014,ALL NIH,100,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NCI,1,0.0,39,2,39.0,41.0,0.9512195121951219,False,1-5
2014,NCI,2,0.0,33,2,33.0,35.0,0.9428571428571428,False,1-5
2014,NCI,3,0.0,39,1,39.0,40.0,0.975,False,1-5
2014,NCI,4,0.0,47,0,47.0,47.0,1.0,False,1-5
2014,NCI,5,0.0,38,0,38.0,38.0,1.0,False,1-5
2014,NCI,6,0.0,45,0,45.0,45.0,1.0,False,6-10
2014,NCI,7,0.0,43,1,43.0,44.0,0.9772727272727273,False,6-10
2014,NCI,8,0.0,49,2,49.0,51.0,0.9607843137254902,False,6-10
2014,NCI,9,0.0,47,0,47.0,47.0,1.0,False,6-10
2014,NCI,10,0.0,31,8,31.0,39.0,0.7948717948717948,False,6-10
2014,NCI,11,0.0,36,5,36.0,41.0,0.8780487804878049,False,11-15
2014,NCI,12,0.0,24,9,24.0,33.0,0.7272727272727273,False,11-15
2014,NCI,13,0.0,19,10,19.0,29.0,0.6551724137931034,False,11-15
2014,NCI,14,0.0,26,16,26.0,42.0,0.6190476190476191,False,11-15
2014,NCI,15,0.0,24,13,24.0,37.0,0.6486486486486487,False,11-15
2014,NCI,16,0.0,6,15,6.0,21.0,0.2857142857142857,False,16-20
2014,NCI,17,0.0,7,20,7.0,27.0,0.25925925925925924,False,16-20
2014,NCI,18,0.0,8,31,8.0,39.0,0.20512820512820512,False,16-20
2014,NCI,19,0.0,5,27,5.0,32.0,0.15625,False,16-20
2014,NCI,20,0.0,2,25,2.0,27.0,0.07407407407407407,False,16-20
2014,NCI,21,0.0,3,36,3.0,39.0,0.07692307692307693,False,21-25
2014,NCI,22,0.0,1,33,1.0,34.0,0.029411764705882353,False,21-25
2014,NCI,23,0.0,2,32,2.0,34.0,0.058823529411764705,False,21-25
2014,NCI,24,0.0,0,51,0.0,51.0,0.0,False,21-25
2014,NCI,25,0.0,0,32,0.0,32.0,0.0,False,21-25
2014,NCI,26,0.0,0,40,0.0,40.0,0.0,False,26+
2014,NCI,27,0.0,0,48,0.0,48.0,0.0,False,26+
2014,NCI,28,0.0,0,35,0.0,35.0,0.0,False,26+
2014,NCI,29,0.0,0,33,0.0,33.0,0.0,False,26+
2014,NCI,30,0.0,0,31,0.0,31.0,0.0,False,26+
2014,NCI,31,0.0,1,35,1.0,36.0,0.027777777777777776,False,26+
2014,NCI,32,0.0,0,34,0.0,34.0,0.0,False,26+
2014,NCI,33,0.0,0,39,0.0,39.0,0.0,False,26+
2014,NCI,34,0.0,0,24,0.0,24.0,0.0,False,26+
2014,NCI,35,0.0,0,44,0.0,44.0,0.0,False,26+
2014,NCI,36,0.0,0,30,0.0,30.0,0.0,False,26+
2014,NCI,37,0.0,0,38,0.0,38.0,0.0,False,26+
2014,NCI,38,0.0,0,38,0.0,38.0,0.0,False,26+
2014,NCI,39,0.0,0,34,0.0,34.0,0.0,False,26+
2014,NCI,40,0.0,0,42,0.0,42.0,0.0,False,26+
2014,NCI,41,0.0,0,37,0.0,37.0,0.0,False,26+
2014,NCI,42,0.0,0,45,0.0,45.0,0.0,False,26+
2014,NCI,43,0.0,0,40,0.0,40.0,0.0,False,26+
2014,NCI,44,0.0,0,33,0.0,33.0,0.0,False,26+
2014,NCI,45,0.0,0,29,0.0,29.0,0.0,False,26+
2014,NCI,46,0.0,0,47,0.0,47.0,0.0,False,26+
2014,NCI,47,0.0,0,27,0.0,27.0,0.0,False,26+
2014,NCI,48,0.0,0,45,0.0,45.0,0.0,False,26+
2014,NCI,49,0.0,0,30,0.0,30.0,0.0,False,26+
2014,NCI,50,0.0,0,35,0.0,35.0,0.0,False,26+
2014,NCI,51,0.0,0,25,0.0,25.0,0.0,False,26+
2014,NCI,52,0.0,0,24,0.0,24.0,0.0,False,26+
2014,NCI,53,0.0,0,13,0.0,13.0,0.0,False,26+
2014,NCI,54,0.0,0,16,0.0,16.0,0.0,False,26+
2014,NCI,55,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NCI,56,0.0,0,7,0.0,7.0,0.0,False,26+
2014,NCI,57,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NCI,58,0.0,0,2,0.0,2.0,0.0,False,26+
2014,NCI,59,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NCI,63,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NCI,66,0.0,0,2,0.0,2.0,0.0,False,26+
2014,NEI,1,0.0,8,0,8.0,8.0,1.0,False,1-5
2014,NEI,2,0.0,7,0,7.0,7.0,1.0,False,1-5
2014,NEI,3,0.0,7,0,7.0,7.0,1.0,False,1-5
2014,NEI,4,0.0,4,0,4.0,4.0,1.0,False,1-5
2014,NEI,5,0.0,11,0,11.0,11.0,1.0,False,1-5
2014,NEI,6,0.0,15,0,15.0,15.0,1.0,False,6-10
2014,NEI,7,0.0,7,0,7.0,7.0,1.0,False,6-10
2014,NEI,8,0.0,13,0,13.0,13.0,1.0,False,6-10
2014,NEI,9,0.0,12,0,12.0,12.0,1.0,False,6-10
2014,NEI,10,0.0,7,0,7.0,7.0,1.0,False,6-10
2014,NEI,11,0.0,7,1,7.0,8.0,0.875,False,11-15
2014,NEI,12,0.0,2,0,2.0,2.0,1.0,False,11-15
2014,NEI,13,0.0,6,0,6.0,6.0,1.0,False,11-15
2014,NEI,14,0.0,10,0,10.0,10.0,1.0,False,11-15
2014,NEI,15,0.0,7,1,7.0,8.0,0.875,False,11-15
2014,NEI,16,0.0,8,2,8.0,10.0,0.8,False,16-20
2014,NEI,17,0.0,7,1,7.0,8.0,0.875,False,16-20
2014,NEI,18,0.0,4,2,4.0,6.0,0.6666666666666666,False,16-20
2014,NEI,19,0.0,4,0,4.0,4.0,1.0,False,16-20
2014,NEI,20,0.0,7,2,7.0,9.0,0.7777777777777778,False,16-20
2014,NEI,21,0.0,11,4,11.0,15.0,0.7333333333333333,False,21-25
2014,NEI,22,0.0,8,1,8.0,9.0,0.8888888888888888,False,21-25
2014,NEI,23,0.0,6,4,6.0,10.0,0.6,False,21-25
2014,NEI,24,0.0,1,1,1.0,2.0,0.5,False,21-25
2014,NEI,25,0.0,3,2,3.0,5.0,0.6,False,21-25
2014,NEI,26,0.0,4,4,4.0,8.0,0.5,False,26+
2014,NEI,27,0.0,4,3,4.0,7.0,0.5714285714285714,False,26+
2014,NEI,28,0.0,5,5,5.0,10.0,0.5,False,26+
2014,NEI,29,0.0,2,9,2.0,11.0,0.18181818181818182,False,26+
2014,NEI,30,0.0,2,6,2.0,8.0,0.25,False,26+
2014,NEI,31,0.0,1,2,1.0,3.0,0.3333333333333333,False,26+
2014,NEI,32,0.0,3,3,3.0,6.0,0.5,False,26+
2014,NEI,33,0.0,1,12,1.0,13.0,0.07692307692307693,False,26+
2014,NEI,34,0.0,1,3,1.0,4.0,0.25,False,26+
2014,NEI,35,0.0,1,7,1.0,8.0,0.125,False,26+
2014,NEI,36,0.0,2,4,2.0,6.0,0.3333333333333333,False,26+
2014,NEI,37,0.0,1,4,1.0,5.0,0.2,False,26+
2014,NEI,38,0.0,0,7,0.0,7.0,0.0,False,26+
2014,NEI,39,0.0,1,11,1.0,12.0,0.08333333333333333,False,26+
2014,NEI,40,0.0,2,6,2.0,8.0,0.25,False,26+
2014,NEI,41,0.0,1,9,1.0,10.0,0.1,False,26+
2014,NEI,42,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NEI,43,0.0,0,9,0.0,9.0,0.0,False,26+
2014,NEI,44,0.0,0,6,0.0,6.0,0.0,False,26+
2014,NEI,45,0.0,0,8,0.0,8.0,0.0,False,26+
2014,NEI,46,0.0,1,6,1.0,7.0,0.14285714285714285,False,26+
2014,NEI,47,0.0,0,9,0.0,9.0,0.0,False,26+
2014,NEI,48,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NEI,49,0.0,0,10,0.0,10.0,0.0,False,26+
2014,NEI,50,0.0,0,6,0.0,6.0,0.0,False,26+
2014,NEI,51,0.0,0,6,0.0,6.0,0.0,False,26+
2014,NEI,52,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NEI,53,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NEI,54,0.0,1,2,1.0,3.0,0.3333333333333333,False,26+
2014,NEI,55,0.0,0,5,0.0,5.0,0.0,False,26+
2014,NEI,56,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NEI,57,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NEI,60,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NEI,64,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,1,0.0,1,0,1.0,1.0,1.0,False,1-5
2014,NHGRI,2,0.0,3,0,3.0,3.0,1.0,False,1-5
2014,NHGRI,3,0.0,1,0,1.0,1.0,1.0,False,1-5
2014,NHGRI,4,0.0,1,0,1.0,1.0,1.0,False,1-5
2014,NHGRI,5,0.0,2,0,2.0,2.0,1.0,False,1-5
2014,NHGRI,6,0.0,1,0,1.0,1.0,1.0,False,6-10
2014,NHGRI,8,0.0,3,0,3.0,3.0,1.0,False,6-10
2014,NHGRI,10,0.0,1,0,1.0,1.0,1.0,False,6-10
2014,NHGRI,11,0.0,2,0,2.0,2.0,1.0,False,11-15
2014,NHGRI,13,0.0,1,0,1.0,1.0,1.0,False,11-15
2014,NHGRI,14,0.0,2,0,2.0,2.0,1.0,False,11-15
2014,NHGRI,15,0.0,0,1,0.0,1.0,0.0,False,11-15
2014,NHGRI,16,0.0,1,0,1.0,1.0,1.0,False,16-20
2014,NHGRI,17,0.0,2,0,2.0,2.0,1.0,False,16-20
2014,NHGRI,18,0.0,1,0,1.0,1.0,1.0,False,16-20
2014,NHGRI,19,0.0,1,0,1.0,1.0,1.0,False,16-20
2014,NHGRI,20,0.0,3,0,3.0,3.0,1.0,False,16-20
2014,NHGRI,21,0.0,1,2,1.0,3.0,0.3333333333333333,False,21-25
2014,NHGRI,23,0.0,1,2,1.0,3.0,0.3333333333333333,False,21-25
2014,NHGRI,24,0.0,1,0,1.0,1.0,1.0,False,21-25
2014,NHGRI,25,0.0,1,1,1.0,2.0,0.5,False,21-25
2014,NHGRI,26,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,27,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,33,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,35,0.0,0,2,0.0,2.0,0.0,False,26+
2014,NHGRI,36,0.0,0,3,0.0,3.0,0.0,False,26+
2014,NHGRI,39,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,40,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,41,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,43,0.0,1,0,1.0,1.0,1.0,False,26+
2014,NHGRI,44,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,45,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,46,0.0,0,3,0.0,3.0,0.0,False,26+
2014,NHGRI,48,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,49,0.0,0,4,0.0,4.0,0.0,False,26+
2014,NHGRI,51,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,55,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHGRI,60,0.0,0,2,0.0,2.0,0.0,False,26+
2014,NHGRI,67,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHLBI,1,0.0,36,0,36.0,36.0,1.0,False,1-5
2014,NHLBI,2,0.0,26,0,26.0,26.0,1.0,False,1-5
2014,NHLBI,3,0.0,27,2,27.0,29.0,0.9310344827586207,False,1-5
2014,NHLBI,4,0.0,31,3,31.0,34.0,0.9117647058823529,False,1-5
2014,NHLBI,5,0.0,44,5,44.0,49.0,0.8979591836734694,False,1-5
2014,NHLBI,6,0.0,40,5,40.0,45.0,0.8888888888888888,False,6-10
2014,NHLBI,7,0.0,27,0,27.0,27.0,1.0,False,6-10
2014,NHLBI,8,0.0,45,0,45.0,45.0,1.0,False,6-10
2014,NHLBI,9,0.0,30,0,30.0,30.0,1.0,False,6-10
2014,NHLBI,10,0.0,30,2,30.0,32.0,0.9375,False,6-10
2014,NHLBI,11,0.0,34,0,34.0,34.0,1.0,False,11-15
2014,NHLBI,12,0.0,25,1,25.0,26.0,0.9615384615384616,False,11-15
2014,NHLBI,13,11.0,13,14,24.0,38.0,0.631578947368421,False,11-15
2014,NHLBI,14,3.0,8,13,11.0,24.0,0.4583333333333333,False,11-15
2014,NHLBI,15,1.0,7,23,8.0,31.0,0.25806451612903225,False,11-15
2014,NHLBI,16,2.0,7,18,9.0,27.0,0.3333333333333333,False,16-20
2014,NHLBI,17,3.0,5,16,8.0,24.0,0.3333333333333333,False,16-20
2014,NHLBI,18,4.0,4,38,8.0,46.0,0.17391304347826086,False,16-20
2014,NHLBI,19,5.0,6,17,11.0,28.0,0.39285714285714285,False,16-20
2014,NHLBI,20,3.0,9,17,12.0,29.0,0.41379310344827586,False,16-20
2014,NHLBI,21,2.0,6,19,8.0,27.0,0.2962962962962963,False,21-25
2014,NHLBI,22,1.0,7,15,8.0,23.0,0.34782608695652173,False,21-25
2014,NHLBI,23,3.0,1,28,4.0,32.0,0.125,False,21-25
2014,NHLBI,24,4.0,1,31,5.0,36.0,0.1388888888888889,False,21-25
2014,NHLBI,25,3.0,0,20,3.0,23.0,0.13043478260869565,False,21-25
2014,NHLBI,26,1.0,1,31,2.0,33.0,0.06060606060606061,False,26+
2014,NHLBI,27,1.0,0,21,1.0,22.0,0.045454545454545456,False,26+
2014,NHLBI,28,2.0,0,27,2.0,29.0,0.06896551724137931,False,26+
2014,NHLBI,29,4.0,0,21,4.0,25.0,0.16,False,26+
2014,NHLBI,30,2.0,0,27,2.0,29.0,0.06896551724137931,False,26+
2014,NHLBI,31,2.0,0,19,2.0,21.0,0.09523809523809523,False,26+
2014,NHLBI,32,0.0,1,34,1.0,35.0,0.02857142857142857,False,26+
2014,NHLBI,33,0.0,0,23,0.0,23.0,0.0,False,26+
2014,NHLBI,34,0.0,0,32,0.0,32.0,0.0,False,26+
2014,NHLBI,35,0.0,0,30,0.0,30.0,0.0,False,26+
2014,NHLBI,36,0.0,0,40,0.0,40.0,0.0,False,26+
2014,NHLBI,37,0.0,0,29,0.0,29.0,0.0,False,26+
2014,NHLBI,38,0.0,0,23,0.0,23.0,0.0,False,26+
2014,NHLBI,39,0.0,0,27,0.0,27.0,0.0,False,26+
2014,NHLBI,40,0.0,0,22,0.0,22.0,0.0,False,26+
2014,NHLBI,41,0.0,0,26,0.0,26.0,0.0,False,26+
2014,NHLBI,42,0.0,0,29,0.0,29.0,0.0,False,26+
2014,NHLBI,43,0.0,0,24,0.0,24.0,0.0,False,26+
2014,NHLBI,44,0.0,0,30,0.0,30.0,0.0,False,26+
2014,NHLBI,45,0.0,0,21,0.0,21.0,0.0,False,26+
2014,NHLBI,46,0.0,0,38,0.0,38.0,0.0,False,26+
2014,NHLBI,47,0.0,0,24,0.0,24.0,0.0,False,26+
2014,NHLBI,48,0.0,0,27,0.0,27.0,0.0,False,26+
2014,NHLBI,49,0.0,0,26,0.0,26.0,0.0,False,26+
2014,NHLBI,50,0.0,0,31,0.0,31.0,0.0,False,26+
2014,NHLBI,51,0.0,0,25,0.0,25.0,0.0,False,26+
2014,NHLBI,52,0.0,0,16,0.0,16.0,0.0,False,26+
2014,NHLBI,53,0.0,0,17,0.0,17.0,0.0,False,26+
2014,NHLBI,54,0.0,0,12,0.0,12.0,0.0,False,26+
2014,NHLBI,55,0.0,0,6,0.0,6.0,0.0,False,26+
2014,NHLBI,56,0.0,0,8,0.0,8.0,0.0,False,26+
2014,NHLBI,57,0.0,0,1,0.0,1.0,0.0,False,26+
2014,NHLBI,58,0.0,0,3,0.0,3.0,0.0,False,26+
2014,NHLBI,59,0.0,0,7,0.0,7.0,0.0,False,26+
2014,NHLBI,61,0.0,0,3,0.0,3.0,0.0,False,26+
2014,NHLBI,62,0.0,0,2,0.0,2.0,0.0,False,26+
2014,NIA,1,,13,0,13.0,13.0,1.0,True,1-5
2014,NIA,2,,8,0,8.0,8.0,1.0,True,1-5
2014,NIA,3,,12,0,12.0,12.0,1.0,True,1-5
2014,NIA,4,,5,0,5.0,5.0,1.0,True,1-5
2014,NIA,5,,14,0,14.0,14.0,1.0,True,1-5
2014,NIA,6,,8,1,8.0,9.0,0.8888888888888888,True,6-10
2014,NIA,7,,7,0,7.0,7.0,1.0,True,6-10
2014,NIA,8,,8,0,8.0,8.0,1.0,True,6-10
2014,NIA,9,,18,0,18.0,18.0,1.0,True,6-10
2014,NIA,10,,14,0,14.0,14.0,1.0,True,6-10
2014,NIA,11,,11,1,11.0,12.0,0.9166666666666666,True,11-15
2014,NIA,12,,3,3,3.0,6.0,0.5,True,11-15
2014,NIA,13,,3,3,3.0,6.0,0.5,True,11-15
2014,NIA,14,,7,6,7.0,13.0,0.5384615384615384,True,11-15
2014,NIA,15,,4,5,4.0,9.0,0.4444444444444444,True,11-15
2014,NIA,16,,5,5,5.0,10.0,0.5,True,16-20
2014,NIA,17,,3,4,3.0,7.0,0.42857142857142855,True,16-20
2014,NIA,18,,5,11,5.0,16.0,0.3125,True,16-20
2014,NIA,19,,0,2,0.0,2.0,0.0,True,16-20
2014,NIA,20,,2,5,2.0,7.0,0.2857142857142857,True,16-20
2014,NIA,21,,0,7,0.0,7.0,0.0,True,21-25
2014,NIA,22,,5,10,5.0,15.0,0.3333333333333333,True,21-25
2014,NIA,23,,0,14,0.0,14.0,0.0,True,21-25
2014,NIA,24,,0,9,0.0,9.0,0.0,True,21-25
2014,NIA,25,,0,10,0.0,10.0,0.0,True,21-25
2014,NIA,26,,0,10,0.0,10.0,0.0,True,26+
2014,NIA,27,,0,5,0.0,5.0,0.0,True,26+
2014,NIA,28,,0,8,0.0,8.0,0.0,True,26+
2014,NIA,29,,0,9,0.0,9.0,0.0,True,26+
2014,NIA,30,,0,13,0.0,13.0,0.0,True,26+
2014,NIA,31,,0,5,0.0,5.0,0.0,True,26+
2014,NIA,32,,0,23,0.0,23.0,0.0,True,26+
2014,NIA,33,,0,6,0.0,6.0,0.0,True,26+
2014,NIA,34,,0,12,0.0,12.0,0.0,True,26+
2014,NIA,35,,0,9,0.0,9.0,0.0,True,26+
2014,NIA,36,,0,11,0.0,11.0,0.0,True,26+
2014,NIA,37,,0,6,0.0,6.0,0.0,True,26+
2014,NIA,38,,0,16,0.0,16.0,0.0,True,26+
2014,NIA,39,,0,4,0.0,4.0,0.0,True,26+
2014,NIA,40,,0,10,0.0,10.0,0.0,True,26+
2014,NIA,41,,0,8,0.0,8.0,0.0,True,26+
2014,NIA,42,,0,11,0.0,11.0,0.0,True,26+
2014,NIA,43,,0,14,0.0,14.0,0.0,True,26+
2014,NIA,44,,0,10,0.0,10.0,0.0,True,26+
2014,NIA,45,,0,13,0.0,13.0,0.0,True,26+
2014,NIA,46,,0,9,0.0,9.0,0.0,True,26+
2014,NIA,47,,0,12,0.0,12.0,0.0,True,26+
2014,NIA,48,,0,18,0.0,18.0,0.0,True,26+
2014,NIA,49,,0,3,0.0,3.0,0.0,True,26+
2014,NIA,50,,0,16,0.0,16.0,0.0,True,26+
2014,NIA,51,,0,8,0.0,8.0,0.0,True,26+
2014,NIA,52,,0,7,0.0,7.0,0.0,True,26+
2014,NIA,53,,0,7,0.0,7.0,0.0,True,26+
2014,NIA,54,,0,2,0.0,2.0,0.0,True,26+
2014,NIA,55,,0,2,0.0,2.0,0.0,True,26+
2014,NIA,56,,0,4,0.0,4.0,0.0,True,26+
2014,NIA,57,,0,1,0.0,1.0,0.0,True,26+
2014,NIA,59,,0,1,0.0,1.0,0.0,True,26+
2014,NIA,63,,0,1,0.0,1.0,0.0,True,26+
2014,NIA,75,,0,1,0.0,1.0,0.0,True,26+
2014,NIA,88,,0,1,0.0,1.0,0.0,True,26+
2014,NIA,92,,0,1,0.0,1.0,0.0,True,26+
2014,NIAAA,1,0.0,3,0,3.0,3.0,1.0,False,1-5
2014,NIAAA,2,0.0,3,0,3.0,3.0,1.0,False,1-5
2014,NIAAA,3,0.0,3,1,3.0,4.0,0.75,False,1-5
2014,NIAAA,4,0.0,6,0,6.0,6.0,1.0,False,1-5
2014,NIAAA,5,0.0,3,0,3.0,3.0,1.0,False,1-5
2014,NIAAA,6,0.0,4,0,4.0,4.0,1.0,False,6-10
2014,NIAAA,7,0.0,4,0,4.0,4.0,1.0,False,6-10
2014,NIAAA,8,0.0,7,0,7.0,7.0,1.0,False,6-10
2014,NIAAA,9,0.0,6,0,6.0,6.0,1.0,False,6-10
2014,NIAAA,10,0.0,7,1,7.0,8.0,0.875,False,6-10
